Sample	Lifestyle
Halothermothrix_orenii	Thermohalophile
Natranaerobius_thermophilus	Thermohalophile
Actinopolyspora_halophila	Thermohalophile
Dichotomicrobium_thermohalophilum	Thermohalophile
Thermohalobacter_berrensis	Thermohalophile
Petrotoga_mobilis	Thermohalophile
Halanaerobium_congolense	Thermohalophile
Halonatronum_saccharophilum	Thermohalophile
Natranaerobius_trueperi	Thermohalophile
Anaerobranca_horikoshii	Thermohalophile
Halanaerobium_praevalens	Meso-halophile
Salinibacillus_aidingensis	Thermohalophile
Gracilibacillus_thermotolerans	Thermohalophile
Oceanobacillus_iheyensis	Meso-halophile
Truepera_radiovictrix	Thermophile
Virgibacillus_halodenitrificans	Meso-halophile
Salinibacter_ruber_M8	Extreme-Halophile-Bacterial
Salinibacter_ruber_DSM13855	Extreme-Halophile-Bacterial
Halonotius_sp_J07HN4	Extreme-Halophile-Archaeal
Halobacteroides_halobius	Extreme-Halophile-Anaerobic
Chromohalobacter_salexigens	Meso-halophile
Halomonas_elongata	Meso-halophile
Vibrio_fischeri	Meso-halophile
Cobetia_marina	Meso-halophile
Staphylococcus_epidermidis	Meso-halophile
Staphylococcus_aureus	Meso-halophile
Fusobacterium_nucleatum	Meso-halophile
Thermus_thermophilus	Thermophile
Thermotoga_maritima	Thermophile
Geobacillus_stearothermophilus	Thermophile
Thermoanaerobacter_tengcongensis	Thermophile
Meiothermus_ruber	Thermophile
Desulfotomaculum_thermophilum	Thermophile
Carboxydothermus_hydrogenoformans	Thermophile
Thermoanaerobacterium_thermosaccharolyticum	Thermophile
Thermacetogenium_phaeum	Thermophile
Caldanaerobacter_subterraneus	Thermophile
Neomoorella_thermoacetica	Thermophile
Neomoorella_glycerini	Thermophile
Thermoanaerobacter_thermohydrosulfuricus	Thermophile
Athalassotoga_saccharophila	Thermophile
Kosmotoga_olearia	Thermophile
Anoxybacillus_rupiensis	Thermophile
Anoxybacillus_flavithermus	Thermophile
Bacillus_licheniformis	Thermophile
Bacillus_subtilis	Mesophile
Escherichia_coli	Mesophile
Pseudomonas_putida	Mesophile
Lactobacillus_plantarum	Mesophile
Corynebacterium_glutamicum	Mesophile
Salimicrobium_halophilum	Meso-halophile
