Sample	Lifestyle
Halothermothrix_orenii	TH-Anaerobic
Natranaerobius_thermophilus	TH-Anaerobic
Actinopolyspora_halophila	TH-Aerobic
Dichotomicrobium_thermohalophilum	TH-Aerobic
Thermohalobacter_berrensis	TH-Anaerobic
Petrotoga_mobilis	TH-Anaerobic
Halanaerobium_congolense	TH-Anaerobic
Halonatronum_saccharophilum	TH-Anaerobic
Natranaerobius_trueperi	TH-Anaerobic
Anaerobranca_horikoshii	TH-Anaerobic
Halanaerobium_praevalens	Halophile
Salinibacillus_aidingensis	TH-Aerobic
Gracilibacillus_thermotolerans	TH-Aerobic
Salinibacter_ruber_M8	Halophile
Salinibacter_ruber_DSM13855	Halophile
Halonotius_sp_J07HN4	Halophile
Halobacteroides_halobius	Halophile
Chromohalobacter_salexigens	Halophile
Halomonas_elongata	Halophile
Vibrio_fischeri	Halophile
Cobetia_marina	Halophile
Staphylococcus_epidermidis	Halophile
Staphylococcus_aureus	Halophile
Fusobacterium_nucleatum	Halophile
Oceanobacillus_iheyensis	Halophile
Virgibacillus_halodenitrificans	Halophile
Thermus_thermophilus	TP-Aerobic
Thermotoga_maritima	TP-Anaerobic
Geobacillus_stearothermophilus	TP-Aerobic
Thermoanaerobacter_tengcongensis	TP-Anaerobic
Meiothermus_ruber	TP-Aerobic
Desulfotomaculum_thermophilum	TP-Anaerobic
Carboxydothermus_hydrogenoformans	TP-Anaerobic
Thermoanaerobacterium_thermosaccharolyticum	TP-Anaerobic
Thermacetogenium_phaeum	TP-Anaerobic
Caldanaerobacter_subterraneus	TP-Anaerobic
Neomoorella_thermoacetica	TP-Anaerobic
Neomoorella_glycerini	TP-Anaerobic
Thermoanaerobacter_thermohydrosulfuricus	TP-Anaerobic
Athalassotoga_saccharophila	TP-Anaerobic
Kosmotoga_olearia	TP-Anaerobic
Anoxybacillus_rupiensis	TP-Aerobic
Anoxybacillus_flavithermus	TP-Aerobic
Bacillus_licheniformis	TP-Aerobic
Truepera_radiovictrix	TP-Aerobic
Bacillus_subtilis	Mesophile
Escherichia_coli	Mesophile
Pseudomonas_putida	Mesophile
Lactobacillus_plantarum	Mesophile
Corynebacterium_glutamicum	Mesophile
Salimicrobium_halophilum	Halophile
